"Variable","Description","Affects"
"CPAT_API_ADDRESS","| **Default** ``127.0.0.1``
"CPAT_JWT_SERVICENAME_CLAIM","| **Default** ``clientId``
| The access token claim whose value is the user's client","API, Client"
"CPAT_JWT_USERNAME_CLAIM","| **Default** ``preferred_username``
| The access token claim whose value is the user's username","API, Client"
"CPAT_OIDC_PROVIDER","| **Default** ``http://localhost:8080/auth/realms/RMFTools``
| The base URL of the OIDC provider issuing signed JWTs for the API.  The string ``/.well-known/openid-configuration`` will be appended when fetching metadata.","API, Client"
"CPAT_CLIENT_OIDC_PROVIDER","| **Default** ``CPAT_OIDC_PROVIDER``
| Client override of the base URL of the OIDC provider issuing signed JWTs for the API.  The string ``/.well-known/openid-configuration`` will be appended when fetching metadata.","API, Client"
"CPAT_SWAGGER_ENABLED","| **Default** ``false``
| Whether to enable the SwaggerUI SPA at /api-docs ","API"
"CPAT_SWAGGER_REDIRECT","| **Default** ``http://localhost:8086/api-docs/oauth2-redirect.html``
| The redirect URL sent by SwaggerUI to the OIDC provider when authorizing","API"
"CPAT_SWAGGER_SERVER","| **Default** ``http://localhost:8086/api``
| The API server URL relative to the SwaggerUI ","API"
"STIGMAN_OIDC_CLIENT_ID","| **Default** ``stig-manager``
| The OIDC clientId for STIG Manager","API, Client"
"STIGMAN_API_URL","| **Default** ``http://localhost:54000/api``
| The API server URL for STIG Manager ","API"
"STIGMAN_SCOPE_PREFIX","| **No default**
| String used as a prefix for each scope when authenticating to the OIDC Provider. Some providers (Azure AD) expect scope requests in the format ``api://<application_id>/<scope>``, where ``api://<application_id>/`` is the required prefix.","Client"
"STIGMAN_EXTRA_SCOPES","| **No default**
| OAuth2 scopes to request in addition to ``stig-manager:stig`` ``stig-manager:stig:read`` ``stig-manager:collection`` ``stig-manager:user`` ``stig-manager:user:read`` ``stig-manager:op`` ``openid``. Some OIDC providers (Okta) generate a refresh token only if the scope ``offline_access`` is requested","Client"
"TENABLE_ENABLED","| **Default** ``false``
| API proxying for Tenable enabled. ","API, Client"
"TENABLE_URL","| **No default**
| The URL for Tenable.sc. No trailing slash required. ","API"
"TENABLE_ACCESS_KEY","| **No default**
| The access key provided by Tenable for API access. ","API"
"TENABLE_SECRET_KEY","| **No default**
| The secret key provided by Tenable for API access. ","API"
"CPAT_MARKETPLACE_DISABLED","| **Default** ``false``
| Disabled C-PAT theme marketplace feature. ","Client"
"CPAT_AI_ENABLED","| **Default** ``false``
| By default, AI integration will be disabled. Set to ``true`` to enable. ","API, Client"
"CPAT_AI_PROVIDER","| **No default**
| Valid options include: ``anthropic`` ``openai`` ``gemini`` ``mistral`` ``groq`` ``xai`` ``togetherai`` ``cohere`` ``fireworks`` ``cerebras`` ``perplexity`` ``deepinfra`` ","API"
"CPAT_AI_MODEL_NAME","| **No default**
| Underlying AI integration is enabled by Vercel AI SDK. For precise model naming instructions, please visit the `Vercel docs <https://sdk.vercel.ai/providers/ai-sdk-providers/openai>`_. ","API"
"CPAT_AI_API_KEY","| **No default**
| The API key for your chosen AI provider. This is not applicable when using ollama. ","API"
"CPAT_AI_BASE_URL","| **Default** ``http://localhost:11434``
| URL prefix for API calls to ollama. ","API"
